user_id,category,source
365e3edd2e,Бытовая техника,other
830421d975,Продукты,other
7d6c62f0a2,Бытовая техника,context
77465a0b61,Бытовая техника,other
ee9eb52181,Товары для животных,email
871c1fa9ae,Продукты,other
03b91dba06,Электроника,other
6cb42b2632,Бытовая техника,email
c7f6fbe42f,Бытовая техника,other
9ab8f3bbb8,Бытовая техника,context
63df9ee9d3,Электроника,context
2ffd6c724d,Продукты,other
af24cffd03,Электроника,context
421149bb9a,Строительство и ремонт,other
24300c6d1c,Электроника,other
40fe35eb76,Строительство и ремонт,email
9ca11a651f,Электроника,email
b7e640032f,Электроника,other
3691ad282b,Электроника,other
00ea2f7484,Электроника,other
6f198ac1c9,Бытовая техника,other
0d479d4259,Электроника,other
2c8067b7a3,Продукты,other
b461051101,Досуг,other
d39a1d56c3,Бытовая техника,context
316ab03143,Товары для животных,None
78ed39a415,Электроника,other
fd2c2b59b9,Бытовая техника,context
19d1e4e036,Товары для животных,context
9e765c6822,Продукты,other
ddd50eaa45,Электроника,other
e07b13abd0,Бытовая техника,email
c21b82499e,Электроника,context
da79d9ff30,Товары для животных,other
eded5c6792,Досуг,context
e3654c7f1a,Досуг,other
d20bf10c78,Бытовая техника,other
12de58d8e6,Продукты,other
ab8e0c1a01,Досуг,context
ea10f78fec,Продукты,other
de85ea0eb6,Электроника,other
dfe6f4ebb4,Бытовая техника,other
9d25ac3886,Досуг,context
ddf1af2d3f,Бытовая техника,other
d47dd8b814,Электроника,other
c5e1bf636a,Электроника,context
eb5654cf30,Продукты,other
a86e69db63,Продукты,other
d15327eae3,Электроника,email
5278408c4c,Электроника,other
91802f78b2,Электроника,other
f46375940f,Досуг,context
152ea9bb42,Бытовая техника,other
06569907e6,Бытовая техника,other
9f5bf9b73f,Строительство и ремонт,other
ec11793734,Продукты,other
0cf6ee6c84,Бытовая техника,context
f9a3ef9ac2,Продукты,context
716a1b4e10,Продукты,context
42e3b7d1a1,Бытовая техника,other
426fa041ad,Электроника,other
e63af2c8b8,Бытовая техника,other
c0cd6e93e6,Электроника,other
85ff218333,Строительство и ремонт,other
f0dfb618b4,Товары для животных,other
f537f6c8ea,Бытовая техника,other
733b99b95b,Электроника,other
749e8694c5,Товары для животных,context
116f29a8af,Электроника,email
29586e4061,Продукты,other
e9eaffa80a,Бытовая техника,context
da237781d5,Продукты,context
b7195283e1,Товары для животных,other
62f37b821c,Досуг,context
69ae0afab1,Продукты,other
7fa3bf64b4,Досуг,other
4e603d8878,Строительство и ремонт,other
f1b744e6ef,Бытовая техника,other
6812661e1c,Электроника,other
fea946e2a6,Электроника,other
6aff7a1677,Бытовая техника,context
e43ad75353,Продукты,email
88afad2ad9,Продукты,other
0fa7c5b19c,Товары для животных,other
bed9ab14bd,Товары для животных,other
b30f6a38da,Электроника,other
74b06f9902,Строительство и ремонт,email
397005e41e,Бытовая техника,other
80023b95ac,Электроника,other
9fb91262f8,Бытовая техника,other
f34a165ad2,Электроника,other
5b7c1e9769,Бытовая техника,email
5655da0e0b,Электроника,other
ef33021c36,не определена,context
b15321ea7c,Продукты,other
0d4f4664e0,Продукты,context
90ecb23d7c,Электроника,other
a2468d6c33,Электроника,context
a8660dcfae,Бытовая техника,context
8abc724d78,Бытовая техника,other
a7bfa5d0cc,Досуг,context
6e6293a54b,Досуг,context
2bfb139a80,Электроника,other
48b9ea8b65,Электроника,other
fb9acee964,Бытовая техника,None
69775511be,Досуг,context
95bf67fda9,Продукты,other
ca899d23dd,Бытовая техника,other
2de051e056,Электроника,context
0da9ca70fe,Продукты,context
fcc5bebc42,Бытовая техника,context
51f6ce88cc,Бытовая техника,other
74a55eee1d,Электроника,other
69475b45df,Бытовая техника,context
816800e62f,Бытовая техника,context
28ce699720,Бытовая техника,other
f0d57ef042,Электроника,other
39325a5a80,Досуг,other
c577b4b31e,Продукты,other
4038202869,Электроника,other
1405e18ffb,Досуг,context
c0cc01a6a4,Электроника,other
4cd8bde9ac,Продукты,context
f924cacd6d,Электроника,other
8c5eeb346a,Бытовая техника,context
853f7ea287,Продукты,other
3b1fb2ad3f,Электроника,other
8c45fdbf5a,Электроника,other
614aaf466d,Бытовая техника,other
a6a4ff39f8,Бытовая техника,other
55effa36e0,Продукты,other
51d4f4b9d5,Бытовая техника,other
694fdf8197,Электроника,context
33a4dbd193,Электроника,other
bc2b6ade51,Электроника,other
e371c40a07,Электроника,context
74d3a4830b,Продукты,context
be78adf037,Электроника,other
fceaddb1f5,Электроника,other
63f9ec63df,Бытовая техника,None
627fb82e41,Бытовая техника,other
a7091d1405,Бытовая техника,other
c74d0b4602,Электроника,context
a8c4da0681,Электроника,other
47ec449fbe,Строительство и ремонт,context
ee19ad0e7b,Бытовая техника,other
9b63ed579f,Строительство и ремонт,context
508e26d325,Электроника,other
9cdc26ff6c,Электроника,other
be8c8f1a63,Продукты,context
c59381af1d,Строительство и ремонт,other
bc40fc5c3b,Продукты,other
5bc256883c,Электроника,other
800ad1974f,Электроника,other
36b0b3a179,Бытовая техника,email
0ea0c758a5,Продукты,other
12764a8382,Строительство и ремонт,context
fbcb38042a,Бытовая техника,other
b3fe11defe,Продукты,email
1909ff3b18,Продукты,context
cc85b81371,Продукты,other
36d248e31c,Продукты,context
84b1b23768,Досуг,context
44174c696c,Продукты,other
640232cec2,Бытовая техника,context
2e8723f652,Продукты,other
2ffcf27605,Бытовая техника,other
94e132ac2a,Досуг,other
433af0c12b,Продукты,other
24c047fa51,Электроника,other
30fa49eb81,Бытовая техника,other
d9a640bee2,Электроника,other
147df43b96,Продукты,context
f84cfd5fdc,Бытовая техника,context
8684af0a5d,Досуг,other
bbec49524b,Электроника,context
e95d728116,Продукты,other
5392a9dd06,Строительство и ремонт,other
8c9c7efbdb,Бытовая техника,context
8e7cb8744a,Продукты,other
a41b59347a,не определена,other
c1a0da9976,Электроника,other
9e7126c1f7,Строительство и ремонт,other
49e9a83a56,Электроника,context
b3391af5f3,Бытовая техника,other
9c4d9e37b8,Электроника,other
1eee1b1995,Электроника,other
d61df629df,Продукты,other
f67f61db9e,Электроника,other
73d9a7f6d5,Продукты,other
5ebea046cd,Электроника,other
eb7ff574cc,Электроника,context
ccfa85981e,Бытовая техника,other
3def3c47e0,Электроника,email
56183e3be7,Продукты,other
5a8c6a6214,Досуг,other
9c6916078e,Бытовая техника,other
f99c733c58,Электроника,other
301db812db,Электроника,other
27be75d1bf,Электроника,other
ba38172577,Досуг,context
f0706bb95e,Продукты,other
ac317ed5da,Электроника,context
56ac42291c,Электроника,other
d2e5eece34,Бытовая техника,email
5e5398d531,Электроника,context
7c62be614e,Строительство и ремонт,other
8b2f2ce9f1,Электроника,other
8d726fa305,Бытовая техника,other
81ebf6e699,Электроника,other
2ffc0ac898,Продукты,other
3953e7d027,Электроника,context
abbaaeeec6,Товары для животных,context
b3347f9015,Электроника,other
5f4ccaec06,Электроника,context
61f09c8e23,Электроника,other
d4004b3288,Досуг,other
ccdb17354a,Продукты,context
2f15ed507f,Электроника,other
1165b9e353,Досуг,email
0a22ae5507,Электроника,other
e43e102688,Досуг,other
7e33fda510,Электроника,other
2da9fe5598,Электроника,other
bdec18f74e,Продукты,context
41a4f49b7f,Электроника,other
9df56d0753,Продукты,email
4dd6cf0dea,Строительство и ремонт,other
c86f800915,Бытовая техника,other
422ac66d5a,Электроника,other
7ff7a48697,Электроника,other
d8557c45f3,Продукты,other
04405bf835,Продукты,other
987dc6321c,Электроника,other
48a32ff3cc,Электроника,context
deba35d5a8,Бытовая техника,other
42ec6aa3cb,Продукты,other
3f93050f90,Досуг,other
8a0c7e0dfc,Товары для животных,context
73aa62d288,Электроника,other
3e75e9c62e,Электроника,other
c9ca4f00dd,Продукты,email
72d11d2013,Бытовая техника,context
991072196d,Бытовая техника,context
092337723c,Электроника,other
642295148f,Электроника,other
e8dcb49bc2,Досуг,other
b97069ed8f,Бытовая техника,other
f127ee3e08,Бытовая техника,other
78c61cf048,Электроника,other
28ed9a2680,Товары для животных,context
547434b3fc,Строительство и ремонт,other
ec0d778ca8,Электроника,other
0680efd24d,Электроника,context
8c6a576009,Бытовая техника,other
26daa6bcff,Товары для животных,email
63eea77eac,Досуг,other
a771274455,Строительство и ремонт,context
c92680024a,Досуг,context
0f359c5def,Электроника,context
81b86551e0,Товары для животных,other
b694d9fb7e,не определена,context
34abde015c,Бытовая техника,other
2feeed4e90,Электроника,context
e50f766aee,Электроника,other
773030b2e2,Бытовая техника,context
a760d2ebe8,Электроника,other
b45d0d2b02,Электроника,other
61c29f2324,Электроника,other
da177dee2e,Досуг,email
e2389b2f7d,Электроника,context
9443ea597f,Строительство и ремонт,other
c9d93ee37c,Электроника,context
122eafaf38,Продукты,other
609c12b911,Продукты,other
9b2ff5eba6,Бытовая техника,other
ae7b2f668e,Продукты,context
282ee749cd,Продукты,other
4b1bc949e6,Продукты,other
a5669f7711,Товары для животных,email
ca20e247ce,Продукты,other
f88b4269c5,Товары для животных,context
8afd34ea5d,Электроника,email
0b964583be,Продукты,other
2419ce61b8,Досуг,other
4dd2890bda,Электроника,context
2e74cb6a8a,Электроника,other
db51313879,Продукты,other
c31aa4037a,не определена,context
ffde2d54b0,Электроника,other
23b5af6334,не определена,other
ba076e04d6,Электроника,other
1a9515473a,Товары для животных,other
2571da9158,Строительство и ремонт,other
a546b7ee7c,Досуг,other
a677351888,Электроника,context
64bcd9b25a,Строительство и ремонт,other
b2d09e3401,Бытовая техника,email
0a96362e4d,Бытовая техника,other
854a5623f0,Продукты,other
da4df206c2,Строительство и ремонт,context
f744545cc3,Бытовая техника,context
7af958b044,Товары для животных,other
3ea58635a3,Электроника,context
3258e62b94,Электроника,email
262f3fc8b5,Электроника,other
18e33e0244,Электроника,email
5f58fedc8c,Строительство и ремонт,other
1c29031015,Бытовая техника,other
c4925e020b,Электроника,other
fb8c4d7204,Бытовая техника,other
eb986e44ed,Электроника,email
5f8e41e9fe,Бытовая техника,other
932ddf4781,Досуг,context
7675997d49,Досуг,context
5987dcf8a4,Бытовая техника,other
89df00704c,Строительство и ремонт,context
c2d2d8ac77,Бытовая техника,other
c9c47cbb3e,Досуг,email
dc5e2c99dd,Электроника,other
f5ec9a5cd3,Досуг,other
e6d9f9266d,Продукты,other
9cefeea76d,Бытовая техника,context
2462308ce7,Продукты,other
e65eedc757,Электроника,context
52b1d2a63f,Продукты,other
76802021e9,Электроника,context
ed97be25e8,Электроника,other
a7e81df232,Досуг,context
1aa5be530e,Продукты,other
28f52a3a57,Электроника,email
05cbde31c9,Бытовая техника,context
63999d7c25,Электроника,other
367da43c26,Электроника,context
95161a6ab0,Электроника,other
706501f197,Бытовая техника,other
151f96dc65,Строительство и ремонт,context
65b8c9a2a4,Строительство и ремонт,other
ce57bf3770,Бытовая техника,email
69d7a3a6b7,Электроника,other
cf829e6d27,Электроника,other
64d25949ee,Электроника,context
8e8f91533b,Продукты,context
301f91129f,Бытовая техника,context
8a4fbf45b2,Товары для животных,other
0e9416d487,Продукты,other
bfd49a9403,Продукты,other
4f7a7b927c,Электроника,other
a684d11d7f,Продукты,other
6fb5f6efb3,Продукты,other
ed32992735,Электроника,other
9a1538d1d4,Бытовая техника,other
5331a15167,Продукты,email
597f7b8898,Продукты,context
9212be1064,Продукты,other
e0205c7f6f,Продукты,other
fc4b00bcd2,Досуг,other
c3e109ab54,Продукты,context
93564b2f07,Электроника,context
0c26f6807b,Бытовая техника,other
a9fd3b61ee,Бытовая техника,other
3f17e0ae70,Электроника,other
5574f1d3f7,Электроника,other
6c1e59bd4c,Бытовая техника,other
ed11062209,Досуг,context
d829f42876,Досуг,other
d2c684f09e,Электроника,other
4a96c9c66a,Электроника,email
190a767c80,Электроника,context
1a95786640,Продукты,other
d1d24d5736,Строительство и ремонт,other
a10da0093b,Продукты,email
562ec95cde,Досуг,email
b5e2f0a283,Продукты,other
30aa6019ee,Строительство и ремонт,context
06c037d78b,Электроника,context
3880135278,Электроника,other
f76845f07c,Электроника,other
a3c460b857,Продукты,context
16fc636b92,Электроника,context
a9e50fec42,Электроника,other
df5cf7f69a,Бытовая техника,other
dd3f58cee5,Досуг,other
b8921f73af,Электроника,context
9ecb0bed11,Электроника,other
c3480b2a94,Товары для животных,other
03da4195d5,Электроника,context
b1c4466083,Продукты,other
415f8fd5c6,Товары для животных,None
de56717d46,Электроника,other
a1be8a38bc,Электроника,other
3f3161ecf3,Электроника,other
5227f15c20,Электроника,other
1548dbc533,Продукты,other
771c115971,Строительство и ремонт,other
cf893f680f,Электроника,other
47f4301c42,Строительство и ремонт,context
e95d23f9ae,Строительство и ремонт,other
d1d6f9b416,Электроника,other
6a5f9e79e6,Электроника,other
2fe04b4c3a,Продукты,other
6cd9581955,Электроника,other
73521732bf,Продукты,email
c80ea6d678,Строительство и ремонт,other
68d3f7a732,Бытовая техника,context
a60013a070,Бытовая техника,context
354d5aefc8,Продукты,other
ae939da2e6,Продукты,other
efc11b447d,Продукты,context
f91ea585fa,Продукты,None
654fd1a3d4,Бытовая техника,other
2be1d9f2dd,Электроника,other
eed9621d35,Электроника,email
5da0bbd1a2,Продукты,other
b49e94e319,Бытовая техника,other
c1e9992871,Бытовая техника,other
cdb8ff1123,Строительство и ремонт,other
fc1f885b61,Продукты,other
540494af82,Электроника,other
84a6137053,не определена,other
5eb0e70d8a,Электроника,other
616be967a6,Товары для животных,context
74d4880314,Досуг,other
4cac4d415e,Строительство и ремонт,context
38c3ba4023,Электроника,other
4b58237c1c,Электроника,other
64f7b50d91,Продукты,context
40a0c7e9fd,Бытовая техника,context
62f6430779,Продукты,other
3df04d540a,Бытовая техника,context
28e6a3401e,Бытовая техника,context
97e4995f30,Строительство и ремонт,other
c7a0815ba6,Бытовая техника,other
3a120dff00,Продукты,other
2d3c9b5eaf,Товары для животных,other
dec8283dc2,Электроника,other
e3b7d0ac95,Электроника,other
b693664c57,Продукты,other
5ac7f7df8b,Бытовая техника,email
be1e79ee76,Электроника,other
f7075c9aa0,Досуг,context
62b23ee4ec,Электроника,context
b401bb84c5,Электроника,email
6e474050be,Бытовая техника,other
e13c44fa95,Продукты,other
7e647f1627,Досуг,context
ba15a9c30d,Досуг,other
5f7338c6d2,Электроника,context
b8ec83addc,Электроника,other
2b3d1447aa,Строительство и ремонт,other
90055fc6ca,Электроника,email
8699d6bfa4,Досуг,other
15626f0e4b,Электроника,context
5b7a18599d,Продукты,context
73c4b254fd,Строительство и ремонт,other
d589dd0c64,Строительство и ремонт,other
27c802ea37,Электроника,other
0c2c604426,Электроника,context
b2472945fb,Электроника,email
a8d0360a31,Бытовая техника,other
4a6d6258da,Электроника,None
2942d52d8f,Продукты,email
77f350285d,Электроника,email
f848112c51,Строительство и ремонт,other
b323f423ad,Бытовая техника,other
54d4e81534,Электроника,other
045b8e93fb,Товары для животных,other
bb933961ba,Электроника,other
8acfca3a2c,Строительство и ремонт,other
b41d5a7e8b,Продукты,other
bccd9951e1,Продукты,context
adf6dc7f13,Продукты,other
9d619cb825,Товары для животных,other
1f75239f09,Электроника,other
6c13c61421,Бытовая техника,context
c85703bb83,Электроника,other
8f7e0e382c,Электроника,email
96ea47dccc,Продукты,context
bb6bc25682,Бытовая техника,context
31f083b890,Электроника,other
96f1cdc32a,Электроника,context
a6064a81b0,Бытовая техника,context
69368a4512,Досуг,other
a39eeffc02,Электроника,other
9e431b36b4,Строительство и ремонт,context
1af6b519ef,Бытовая техника,None
73e1fe10eb,Электроника,context
463ba5e7a4,Бытовая техника,context
12a4a922a1,Продукты,other
c3507551c1,Бытовая техника,context
d51526e303,Строительство и ремонт,context
ff0f3a4f31,Бытовая техника,other
a14266b0c8,Электроника,other
ed9a053f22,Строительство и ремонт,context
7c410bc984,Продукты,other
43d3eef688,Продукты,other
2863b7f7a8,Электроника,other
c6cf274c7c,Бытовая техника,other
19a6b109c1,Электроника,other
032bed90db,Продукты,other
bd5d165524,Электроника,other
087deeada3,Электроника,other
be4e078bfe,Бытовая техника,other
e9c183b31b,Электроника,email
d623033e42,Электроника,other
b2eae573f9,Электроника,other
0f70a51e4f,Электроника,other
cab50d2e67,не определена,other
cce8f9f201,Досуг,other
4ec1430612,Бытовая техника,other
ddeffbfe0d,Продукты,other
0e880d4c80,Досуг,other
fe8d2e419e,Электроника,other
fb049b9b00,Электроника,other
22559638aa,Продукты,other
5c8b3f960b,Строительство и ремонт,other
ab3b5c58c4,Досуг,other
2ba40c1c01,Строительство и ремонт,other
4823c187c8,Электроника,other
41f6d99050,Строительство и ремонт,other
c60a01a400,Бытовая техника,other
4068465b5c,Электроника,other
644c0e1db3,Бытовая техника,other
0cc20b0e94,Продукты,other
87c1c7daed,Электроника,email
9b8a4ed047,Продукты,other
2f7aabdc85,Продукты,other
804500fb95,Бытовая техника,context
12999dcd9a,Товары для животных,context
c07439237e,Электроника,other
3e591c3ffc,Бытовая техника,context
7ffdf9d121,Товары для животных,other
bae8553cf5,Электроника,other
c612258cb7,Строительство и ремонт,other
4dfa3cdd1c,Бытовая техника,context
92c228eb3e,Бытовая техника,other
6c0e66a66f,Бытовая техника,other
49d3c0fa39,Товары для животных,email
0bb0401efe,Электроника,other
f5d17124c3,Досуг,context
2face57c42,Досуг,other
f2ed578b12,Бытовая техника,other
02d90d34aa,Продукты,other
1d174a41a8,Электроника,context
75f5d0d207,Досуг,context
e992cb1fc7,Электроника,other
20de5fe407,Электроника,context
019d3a0a03,Бытовая техника,other
b23d63fafa,Электроника,other
b38932bf38,Досуг,other
1035729344,Досуг,other
231bac1fca,Электроника,other
2f45092650,Электроника,context
61fc9f74de,Электроника,other
c438a203ed,Продукты,context
e1738778ac,Электроника,other
901b681a19,Досуг,other
0506ed808c,Продукты,other
70a3a8f1c0,Бытовая техника,other
657e2d9e43,Бытовая техника,context
2518ee608a,Досуг,other
b602da8f4f,Бытовая техника,other
d01030d1b8,Продукты,context
1460f00675,Бытовая техника,other
02e9d12fa3,Продукты,context
c8eb6dcf2f,Электроника,other
1f6a93cfd0,Товары для животных,other
779cec4e6f,Строительство и ремонт,context
5c02b413ca,Электроника,other
bd0bfb6081,Досуг,other
7cae20cdba,не определена,context
964f77abb9,Товары для животных,other
ce09a96893,Электроника,other
824d7dc1da,Электроника,other
7acbdd5863,Электроника,other
14375d7acf,Досуг,other
183f8294db,Электроника,context
75fa561c87,Бытовая техника,context
735284e60a,Бытовая техника,other
ebbf18454c,Продукты,other
f0786e4328,Продукты,context
98d1b06887,Бытовая техника,other
f65310cc74,Электроника,context
33998afd1c,Бытовая техника,other
ffba436cd9,Продукты,other
ea0d8049e3,Бытовая техника,context
5e6cfdbc1c,Электроника,other
73cbbc4961,Электроника,other
d3ff27f68f,Электроника,other
08b19ca06d,Строительство и ремонт,other
44e0dc31ce,Товары для животных,context
176742fa25,Досуг,email
a4efe5d448,Товары для животных,context
4d3c6aadf5,Товары для животных,other
dfa1420acf,Бытовая техника,context
a39b67bf03,Электроника,context
4454d85843,Продукты,other
9112bccd2d,Бытовая техника,other
de83486cc6,Продукты,other
51b17d710d,Электроника,email
74b631217b,Продукты,context
2081cf7480,Бытовая техника,context
fc8192c9c8,Электроника,other
14c31e0c1e,Досуг,context
449505c9d8,Электроника,other
94476a8369,Продукты,other
a43dd86c56,Бытовая техника,other
1e2c265bc4,Электроника,other
869c1c29b9,Продукты,other
dba645a04f,Бытовая техника,other
4f2bd5f70d,Бытовая техника,other
48569e217e,Бытовая техника,other
5b1e50821f,Бытовая техника,email
5abab820de,Бытовая техника,other
77f36555ba,Товары для животных,other
283f97cfcd,Электроника,other
3ca720c01e,Электроника,other
e2e42f795f,Бытовая техника,other
cff62d9d8e,Продукты,other
5a6a6d309d,Электроника,email
ae475d4bb1,Электроника,email
499a53c9a8,Бытовая техника,other
e9fb6de839,Бытовая техника,other
f6f7df5f4d,Электроника,other
e415de2b18,Бытовая техника,other
ab426cced0,Строительство и ремонт,other
12129d2d13,Электроника,other
e64b03a160,Электроника,other
1759a9325d,Бытовая техника,other
8948dc5616,Товары для животных,other
845b7880ee,Электроника,context
c4054ed775,Электроника,email
2b1728c429,Досуг,context
e791d1a212,Продукты,other
bfe28de286,Бытовая техника,context
701cfee42b,Бытовая техника,other
8d6fbe5278,Бытовая техника,other
7da375021d,Электроника,other
c4edc286b8,Досуг,other
60eb5f8170,Досуг,other
79440400e3,Электроника,other
e6ee1d8d89,Строительство и ремонт,context
243d7e0a95,Бытовая техника,other
64842ee9cf,Товары для животных,other
bd460f3405,Электроника,other
109fbe07f7,Строительство и ремонт,other
3bd3d1c5e8,Электроника,other
4297890da8,Досуг,other
10738c47a7,Бытовая техника,context
3baee3d19a,Электроника,context
537009ef49,не определена,context
b667cd3778,Досуг,other
7189a26266,Электроника,other
66c75a1c8a,Бытовая техника,other
3efb665357,Бытовая техника,other
a7df231fed,Электроника,other
9dee603a10,Строительство и ремонт,email
eb17b6b1b7,Досуг,context
12a2ebde9b,Досуг,other
d7690ca4c0,Электроника,other
da7e65a871,Бытовая техника,other
ded9654377,Продукты,other
0e0e510d59,Электроника,other
382d1a5a62,Досуг,other
b479a779b7,Электроника,context
8bb76cf91e,Бытовая техника,other
032f356576,Продукты,other
7bede4fcf2,Бытовая техника,context
588e139e53,Бытовая техника,other
478fa069a6,Бытовая техника,other
e759ec098f,Электроника,other
cf42cc3472,Бытовая техника,other
3a0c09c22c,Бытовая техника,other
455f76a9f1,Бытовая техника,other
97e1482d3e,Бытовая техника,other
52730c206f,Бытовая техника,other
876653621b,Электроника,other
59c0e968a7,Товары для животных,context
8cd25fc2bb,Бытовая техника,context
6dec44a650,Бытовая техника,email
712ed1b70d,Бытовая техника,context
5c84a195c6,Досуг,other
761be8357b,Электроника,other
ed9217d89e,Электроника,None
276ebc89f2,Строительство и ремонт,other
e69eb9b5d9,Электроника,other
3f82695909,Досуг,other
13d6468f64,Электроника,context
b854e3b51d,Электроника,other
eeeac4c4b9,Бытовая техника,other
d844dbef73,Продукты,context
4c56fa14c1,Бытовая техника,other
254638de9e,Бытовая техника,other
6b5f868b94,Электроника,context
557af23bea,Бытовая техника,other
30935f492b,Электроника,other
c2e5400687,Продукты,other
c8bc5285c1,Бытовая техника,other
5fd0c516ee,Электроника,context
b73deb623a,Электроника,other
624b96fe4f,Досуг,other
c417492f7e,Строительство и ремонт,other
5a5fe810cf,Электроника,context
643d1c9f8f,Электроника,other
9cc791e592,Товары для животных,context
c3059f4989,Бытовая техника,other
b07f80b851,Электроника,context
719b051b66,Электроника,other
28560606c5,Бытовая техника,context
c0400e2d4e,Электроника,other
b6f37d3348,Продукты,other
912b75dc9c,Строительство и ремонт,other
c64dbc33f8,Досуг,other
a6f32cdbba,Товары для животных,other
f274a8105a,Бытовая техника,other
82f2550c89,Электроника,other
6b37cd2be6,Бытовая техника,other
527677fe39,Строительство и ремонт,other
348b7c059d,Досуг,other
cbc5a31a6a,Строительство и ремонт,context
222c946970,Досуг,other
f7f83eeb84,Строительство и ремонт,other
1086ac1b3c,Продукты,context
6bab3bf92e,Электроника,other
f18d984099,Электроника,other
c1a488a268,Электроника,context
d70b7917eb,Бытовая техника,other
ae11a1db28,Бытовая техника,context
969cdba4aa,Бытовая техника,context
3de26412c9,Электроника,other
8c5e5cd7f8,Продукты,other
ba4114f95d,Товары для животных,other
1be2cfe716,Товары для животных,other
4162c2c385,Электроника,context
b62a1755d6,Досуг,other
e31fd394fb,Продукты,other
260a14dd1f,Бытовая техника,other
b0a7492cf6,Строительство и ремонт,context
1e39762612,Электроника,context
5b95cc2219,Бытовая техника,other
f6d4aa8704,Продукты,context
53c8c903c0,Бытовая техника,other
66fe00a13b,Бытовая техника,other
6f54a64377,Электроника,context
e2afc86401,Электроника,other
35699cdf36,Продукты,context
f0d4ce74f5,Продукты,other
6f6475f20e,Электроника,context
5ce10ac070,Электроника,other
eedda66b4b,Строительство и ремонт,context
0a97512af1,Бытовая техника,other
11c1e98fdc,Бытовая техника,other
e8376a9f8b,Продукты,context
830220820a,Строительство и ремонт,other
be7c6eec78,Продукты,context
236e5b665b,Строительство и ремонт,other
4072ceca17,Электроника,other
2334f1f506,Товары для животных,other
be9ad6a982,Бытовая техника,other
d0e5bc031f,Товары для животных,context
4d7c1ec18c,Электроника,other
5139001b6c,Бытовая техника,other
76d7306275,Досуг,context
b01d58cfb6,Электроника,other
d5c5115509,Бытовая техника,other
8956be70cc,Бытовая техника,context
d9a7c116b7,Электроника,other
5a02f47382,Бытовая техника,other
8ae919bcf5,Электроника,other
68c9c41dc8,Бытовая техника,other
46dea2fc02,Бытовая техника,other
ea2afb979f,Строительство и ремонт,other
08abe86129,Продукты,other
13e16d30a1,Строительство и ремонт,other
7366c004dd,Досуг,email
6cfb9c0d47,Электроника,context
e214ebc3d8,Электроника,context
7ce9dd9856,Бытовая техника,email
0e26b5e178,Электроника,other
b2d6f4b96b,Строительство и ремонт,context
2d2e4439f6,Бытовая техника,other
751519532c,Досуг,other
f52a0bd4f3,Бытовая техника,context
3b9e35c586,Досуг,other
e6be34aa58,Продукты,other
a7c902ccfd,Бытовая техника,other
e0a096a0c4,Электроника,other
62c01ba3ee,Электроника,other
20d1aabae7,Бытовая техника,context
36324a80e8,Товары для животных,other
7db3a49d7a,Продукты,context
6a17962405,Досуг,context
976b9099bb,Бытовая техника,context
7a1235c6b2,Бытовая техника,other
0c141b9d11,Электроника,other
c7a1816c16,Бытовая техника,other
3d2f8f1eaa,Продукты,other
333a446b1a,Электроника,context
9bcb34ca3e,Бытовая техника,context
6c8039ec0b,Бытовая техника,None
bbaef4ead7,Досуг,other
3590f101b7,Бытовая техника,other
2250275b93,Досуг,other
978a1db35d,Продукты,context
7c3eff695d,Бытовая техника,context
d9aaf3625d,Досуг,context
